condition,pathogenic_variant_count
"Intellectual disability, autosomal dominant 43",57
Cornelia de Lange syndrome 4,57
COL4A5-related disorder,57
Nemaline myopathy 10,57
Parkinsonian-pyramidal syndrome,57
Joubert syndrome 14,57
Hemochromatosis type 4,57
Hereditary retinoblastoma,57
NOTCH3-related disorder,57
Lamb-Shaffer syndrome,57
Inflammatory bowel disease 28,57
Sulfite oxidase deficiency due to molybdenum cofactor deficiency type C,57
Pulmonary fibrosis,57
Pierpont syndrome,57
Autosomal recessive bestrophinopathy,57
Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies,57
Stormorken syndrome,57
Immunodeficiency-centromeric instability-facial anomalies syndrome 2,57
Ear malformation,57
Left ventricular noncompaction cardiomyopathy,57
WFS1-related disorder,56
DYNC2H1-related disorder,56
DNAH11-related disorder,56
Fanconi anemia complementation group F,56
Cone dystrophy 4,56
Mitochondrial DNA depletion syndrome 8a,56
Hawkinsinuria,56
Autosomal recessive spinocerebellar ataxia 7,56
Glanzmann thrombasthenia 2,56
Seckel syndrome 4,56
Au-Kline syndrome,56
Brown-Vialetto-van Laere syndrome 2,56
Hypomyelinating leukodystrophy 11,56
Congenital myasthenic syndrome 2A,56
Methylcrotonyl-CoA carboxylase deficiency,56
Cerebellar dysfunction with variable cognitive and behavioral abnormalities,56
Chondrodysplasia punctata 2 X-linked dominant,56
Glycogen storage disorder due to hepatic glycogen synthase deficiency,56
Radio-Tartaglia syndrome,56
Aicardi-Goutieres syndrome 4,56
"Multiple epiphyseal dysplasia, Al-Gazali type",56
Combined immunodeficiency due to STIM1 deficiency,56
"Cardiomyopathy, dilated, with wooly hair, keratoderma, and tooth agenesis",56
Familial cold autoinflammatory syndrome 3,56
DSP-related disorder,56
NOTCH2-related disorder,56
Developmental cataract,56
Marinesco-Sjögren syndrome,55
Glycogen storage disease,55
Idiopathic basal ganglia calcification 1,55
"46,XY sex reversal 3",55
Noonan syndrome 8,55
Spermatogenic failure 72,55
Congenital heart disease,55
"Mitochondrial DNA depletion syndrome, myopathic form",55
"X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia",55
Polycystic liver disease 1,55
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1",55
Juvenile neuronal ceroid lipofuscinosis,55
Spinocerebellar ataxia type 19/22,55
PIK3CA related overgrowth syndrome,55
Charcot-Marie-Tooth disease type 4D,55
"Surfactant metabolism dysfunction, pulmonary, 4",55
Intellectual developmental disorder with dysmorphic facies and ptosis,55
Shwachman-Diamond syndrome 1,55
Autosomal recessive limb-girdle muscular dystrophy type 2M,55
LAMA2-related disorder,55
Autosomal dominant childhood-onset proximal spinal muscular atrophy without contractures,55
Nephronophthisis 16,55
Catecholaminergic polymorphic ventricular tachycardia 5,55
CUBN-related disorder,55
"Anemia, congenital dyserythropoietic, type 1a",55
"Ceroid lipofuscinosis, neuronal, 6B (Kufs type)",55
Hemoglobin H disease,55
Dilated cardiomyopathy 1I,55
Congenital stationary night blindness,55
Abnormal facial shape,55
ABCG8-related disorder,54
Immunodeficiency 36 with lymphoproliferation,54
Renal tubulopathies,54
Age related macular degeneration 13,54
"Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype",54
SIN3A-related intellectual disability syndrome due to a point mutation,54
"Breast cancer, susceptibility to",54
DHCR7-related disorder,54
Congenital muscular dystrophy due to LMNA mutation,54
ABCC8-related disorder,54
"Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis",54
Cataract 18,54
Bronchiectasis with or without elevated sweat chloride 2,54
Hyperparathyroidism 2 with jaw tumors,54
Combined immunodeficiency due to ZAP70 deficiency,54
Alveolar capillary dysplasia with pulmonary venous misalignment,54
Infantile onset spinocerebellar ataxia,54
Pulmonary venoocclusive disease 1,54
"Cerebellar ataxia, intellectual disability, and dysequilibrium syndrome 1",54
Autosomal recessive nonsyndromic hearing loss 53,54
Combined PSAP deficiency,54
Hypobetalipoproteinemia,54
Weiss-Kruszka syndrome,54
Rhabdomyosarcoma,54
Beta zero thalassemia,54
Leukoencephalopathy with mild cerebellar ataxia and white matter edema,53
PTPN11-related disorder,53
MEGF8-related Carpenter syndrome,53
Episodic ataxia type 1,53
COL4A1-related disorder,53
LDLR-related disorder,53
Schuurs-Hoeijmakers syndrome,53
Gaucher disease due to saposin C deficiency,53
Ververi-Brady syndrome,53
"Intellectual developmental disorder, autosomal dominant 64",53
Bardet-Biedl syndrome 11,53
Autism spectrum disorder - epilepsy - arthrogryposis syndrome,53
"Amyotrophic lateral sclerosis type 2, juvenile",53
Neurodevelopmental disorder with or without early-onset generalized epilepsy,53
Pontocerebellar hypoplasia type 9,53
Multiple congenital anomalies-hypotonia-seizures syndrome 2,53
Pyridoxal phosphate-responsive seizures,53
"Cholestasis, progressive familial intrahepatic, 4",53
Hyperprolinemia type 2,53
Nemaline myopathy 8,53
Medulloblastoma WNT activated,53
"Hyperlipidemia, familial combined, LPL related",53
Skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome,53
Nephronophthisis 18,53
Autosomal dominant nonsyndromic hearing loss 13,53
Stickler syndrome,53
"Developmental and epileptic encephalopathy, 17",53
Combined oxidative phosphorylation defect type 8,53
"Peroxisome biogenesis disorder, complementation group K",53
Hyperekplexia 1,53
Vitreoretinopathy,53
Hypomyelinating leukodystrophy 6,52
Uveal melanoma,52
Deficiency of isobutyryl-CoA dehydrogenase,52
Lethal congenital contractural syndrome Finnish type,52
Ritscher-Schinzel syndrome,52
"Hyperinsulinemic hypoglycemia, familial, 4",52
Spinocerebellar ataxia type 5,52
Insulin-resistant diabetes mellitus AND acanthosis nigricans,52
Autosomal recessive nonsyndromic hearing loss 84B,52
"Diabetes insipidus, nephrogenic, autosomal",52
Aarskog syndrome,52
Retinitis pigmentosa 55,52
Autosomal dominant limb-girdle muscular dystrophy type 1D (DNAJB6),52
Rhizomelic chondrodysplasia punctata,52
"Intellectual disability, autosomal recessive 13",52
Multiple epiphyseal dysplasia type 1,52
Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome,52
OCA2-related disorder,52
Renal hypodysplasia/aplasia 3,52
Autosomal recessive nonsyndromic hearing loss 66,52
CHEK2-related disorder,52
COACH syndrome 1,52
Torsion dystonia 6,52
"Ciliary dyskinesia, primary, 40",52
Prolidase deficiency,52
Progressive myoclonic epilepsy type 3,52
Sensorineural hearing loss disorder,52
"Hypertrophic osteoarthropathy, primary, autosomal recessive, 2",52
Autosomal recessive congenital ichthyosis 10,52
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2",52
Usher syndrome type 3A,52
Auditory neuropathy,52
Charcot-Marie-Tooth disease type 4J,52
Fanconi anemia complementation group B,52
"Hydrocephalus, nonsyndromic, autosomal recessive 1",52
"Hypotonia, infantile, with psychomotor retardation and characteristic facies 1",51
Haddad syndrome,51
"Developmental and epileptic encephalopathy, 33",51
Primary hyperoxaluria,51
Sneddon syndrome,51
Spinocerebellar ataxia type 14,51
"Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay",51
Primary hypomagnesemia,51
Retinitis pigmentosa 37,51
Congenital generalized lipodystrophy type 1,51
Non-acquired combined pituitary hormone deficiency with spine abnormalities,51
"Muscular dystrophy-dystroglycanopathy (congenital without intellectual disability), type B4",51
Periodic fever-infantile enterocolitis-autoinflammatory syndrome,51
RYR1-related myopathy,51
Severe combined immunodeficiency due to DNA-PKcs deficiency,51
Hemoglobinopathy,51
"Familial partial lipodystrophy, Dunnigan type",51
"Methylmalonic acidemia with homocystinuria, type cblJ",51
PKD2-related disorder,51
Pancreatic adenocarcinoma,51
PEX1-related disorder,51
Premature ovarian failure 15,51
Late-infantile neuronal ceroid lipofuscinosis,51
Hydrolethalus syndrome 2,51
"Myopathy, centronuclear, 2",51
Peroxisome biogenesis disorder type 3B,51
DYNC1H1-related disorder,51
Okur-Chung neurodevelopmental syndrome,51
Skeletal dysplasia,51
"Developmental and epileptic encephalopathy, 52",51
PAH-related disorder,51
Hb SS disease,51
Radioulnar synostosis,51
Premature ovarian failure,51
Autosomal dominant pseudohypoaldosteronism type 1,50
Charcot-Marie-Tooth disease axonal type 2Z,50
Rabson-Mendenhall syndrome,50
Primary ciliary dyskinesia 13,50
"Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans",50
Vascular malformation,50
"46,XY sex reversal 2",50
Leber congenital amaurosis 9,50
SMPD1-related disorder,50
Cone dystrophy with supernormal rod response,50
Marshall syndrome,50
X-linked lymphoproliferative disease due to SH2D1A deficiency,50
Autosomal recessive congenital ichthyosis 4A,50
Asphyxiating thoracic dystrophy 2,50
"Tumoral calcinosis, hyperphosphatemic, familial, 1",50
FLCN-related disorder,50
Thrombocythemia 2,50
Trichohepatoenteric syndrome 2,50
Short-rib thoracic dysplasia 13 with or without polydactyly,50
X-linked intellectual disability-cerebellar hypoplasia syndrome,50
Noonan syndrome 5,50
Laron-type isolated somatotropin defect,50
Autosomal dominant nonsyndromic hearing loss 10,50
Recombinase activating gene 2 deficiency,50
Peroxisome biogenesis disorder 6B,50
"Agammaglobulinemia 7, autosomal recessive",50
Dent disease type 2,50
Spondylocarpotarsal synostosis syndrome,50
Trichohepatoenteric syndrome 1,50
Fanconi renotubular syndrome 2,50
"Gaze palsy, familial horizontal, with progressive scoliosis 1",50
5-Oxoprolinase deficiency,50
"Epidermolysis bullosa, junctional 2B, severe",50
"Basal ganglia calcification, idiopathic, 4",50
Myopathy with tubular aggregates,50
"Factor XIII, A subunit, deficiency of",50
"Epidermolysis bullosa, junctional 4, intermediate",50
SCN2A-related disorder,50
"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",50
Cone dystrophy,50
"Epiphyseal dysplasia, multiple, 2",50
Acroosteolysis-keloid-like lesions-premature aging syndrome,50
Hereditary diffuse leukoencephalopathy with spheroids,50
"Neuronopathy, distal hereditary motor, type 5A",50
COL6A2-related disorder,50
Krabbe disease due to saposin A deficiency,49
Distal arthrogryposis type 5D,49
FG syndrome 1,49
"Intellectual disability, autosomal recessive 42",49
Charcot-Marie-Tooth disease axonal type 2T,49
Athabaskan severe combined immunodeficiency,49
Treacher Collins syndrome 3,49
COG6-congenital disorder of glycosylation,49
FLNC-related disorder,49
FLNB-related disorder,49
"Microvascular complications of diabetes, susceptibility to, 3",49
Sifrim-Hitz-Weiss syndrome,49
Gastrointestinal defects and immunodeficiency syndrome 1,49
Retinitis pigmentosa 51,49
Open-angle glaucoma,49
Polyglucosan body myopathy type 2,49
Neutral 1 amino acid transport defect,49
"Intellectual disability, autosomal recessive 65",49
X-linked recessive nephrolithiasis with renal failure,49
Hypotonia,49
"Melanoma, cutaneous malignant, susceptibility to, 5",49
"Dermatitis, atopic, 2",49
"Intellectual disability, autosomal dominant 30",49
CYP27A1-related disorder,49
Charcot-Marie-Tooth disease type 4K,49
Global developmental delay with or without impaired intellectual development,49
Differences in sex development,49
Polycystic liver disease 3 with or without kidney cysts,49
Hypertrophic cardiomyopathy 6,49
Abnormal brain morphology,49
Peripheral neuropathy,49
Focal segmental glomerulosclerosis 2,48
Thyroid dyshormonogenesis 1,48
Noonan syndrome 3,48
Mitochondrial DNA depletion syndrome 9,48
Mitochondrial DNA depletion syndrome 3 (hepatocerebral type),48
Bardet-Biedl syndrome 8,48
"Myopathy, lactic acidosis, and sideroblastic anemia 1",48
Atypical Rett syndrome,48
"Hydrocephalus, nonsyndromic, autosomal recessive 2",48
Myofibrillar myopathy 3,48
"Spondylocostal dysostosis 1, autosomal recessive",48
Primrose syndrome,48
Atrial septal defect 5,48
"Congenital disorder of glycosylation, type IAA",48
"Coenzyme Q10 deficiency, primary, 1",48
COL1A2-related disorder,48
LZTR1-related disorder,48
KIF1A-related disorder,48
ANKRD11-related disorder,48
Complex cortical dysplasia with other brain malformations 7,48
Factor VII deficiency,48
Testosterone 17-beta-dehydrogenase deficiency,48
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,48
Metatropic dysplasia,48
Holoprosencephaly 5,48
ALPL-related disorder,48
Warburg micro syndrome 1,48
Pyogenic arthritis-pyoderma gangrenosum-acne syndrome,48
Spondyloepiphyseal dysplasia congenita,48
"Congenital myopathy 4B, autosomal recessive",48
Dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema,48
Anterior segment dysgenesis 4,47
Autosomal dominant limb-girdle muscular dystrophy type 1F,47
12 conditions,47
"Lymphoma, non-Hodgkin, familial",47
"Congenital dyserythropoietic anemia, type I",47
Severe early-onset pulmonary alveolar proteinosis due to MARS deficiency,47
Neu-Laxova syndrome 2,47
Cataract 14 multiple types,47
X-linked Opitz G/BBB syndrome,47
Infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly,47
Lissencephaly type 1 due to doublecortin gene mutation,47
Oocyte maturation defect 2,47
Juberg-Hayward syndrome,47
Polyglucosan body myopathy type 1,47
Neurodevelopmental-craniofacial syndrome with variable renal and cardiac abnormalities,47
Osteogenesis imperfecta type 11,47
COG1 congenital disorder of glycosylation,47
Permanent neonatal diabetes mellitus 1,47
Glutamate formiminotransferase deficiency,47
Pyruvate dehydrogenase E1-beta deficiency,47
Sanfilippo syndrome,47
Feingold syndrome type 1,47
Dilated cardiomyopathy 1Y,47
Non-immune hydrops fetalis,47
MOGS-congenital disorder of glycosylation,47
Rauch-Steindl syndrome,47
Congenital cerebellar hypoplasia,47
Otofaciocervical syndrome 1,47
Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,47
"Periventricular heterotopia with microcephaly, autosomal recessive",47
Mucolipidosis,47
Leydig cell agenesis,47
"Metaphyseal chondrodysplasia, Schmid type",47
Usher syndrome type 1G,47
"Hypophosphatemic rickets, X-linked recessive",47
ARID1B-related BAFopathy,47
CFH-Related Dense Deposit Disease / Membranoproliferative Glomerulonephritis Type II,47
Finnish type amyloidosis,47
Iron accumulation in brain,47
Osteofibrous dysplasia,47
ALG3-congenital disorder of glycosylation,46
Cutis laxa,46
Microphthalmia with brain and digit anomalies,46
Predisposition to invasive fungal disease due to CARD9 deficiency,46
Citrullinemia type II,46
Warsaw breakage syndrome,46
GNAS-related disorder,46
Retinitis pigmentosa 87 with choroidal involvement,46
TERT-related disorder,46
PALB2-related cancer predisposition,46
"Cutis laxa, autosomal dominant 1",46
POLD1-related disorder,46
"Parkinson disease, late-onset",46
Hyperinsulinemic hypoglycemia,46
Multiple mitochondrial dysfunctions syndrome 3,46
Hereditary spherocytosis type 5,46
TCF12-related craniosynostosis,46
G6PD deficiency,46
Familial cold autoinflammatory syndrome 4,46
MUTYH-related disorder,46
Brugada syndrome 4,46
Congenital hypothyroidism,46
Maple syrup urine disease type 2,46
SCN5A-related disorder,46
Dejerine-Sottas disease,46
17p11.2 microduplication syndrome,46
Nephronophthisis 8,46
"Myopathy, congenital, with structured cores and z-line abnormalities",46
Tibial pseudarthrosis,46
BBS1-related disorder,45
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 12",45
Developmental delay with or without intellectual impairment or behavioral abnormalities,45
"Intellectual disability, X-linked 99, syndromic, female-restricted",45
Xeroderma pigmentosum variant type,45
Charcot-Marie-Tooth disease recessive intermediate A,45
Hypogonadotropic hypogonadism,45
Thrombocytopenia 12 with or without myopathy,45
"Epidermolysis bullosa, junctional 3B, severe",45
TYR-related disorder,45
"Generalized epilepsy with febrile seizures plus, type 1",45
